user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,true,REQ_CAR_BODY_PANEL met: rear bumper clearly visible from angle where deformation can be assessed.,none,dent,rear_bumper,supported,"img_1 clearly shows severe rear bumper damage with visible deformation and crushed metal, matching user's claim of dent damage to rear bumper area.",img_1,true,high
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,true,REQ_CAR_BODY_PANEL met: img_1 shows front bumper clearly where surface marks and deformation can be assessed.,claim_mismatch;manual_review_required,scratch,front_bumper,contradicted,img_1 shows significant bumper damage with deformation beyond a simple scratch. img_2 shows a completely undamaged different vehicle. Claim describes minor scratch but img_1 shows moderate impact damage.,img_1,true,medium
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,true,REQ_CAR_GLASS_LIGHT_MIRROR met: windshield is clearly visible in img_1 and the crack pattern can be inspected.,none,glass_shatter,windshield,supported,"img_1 clearly shows windshield with radiating crack pattern from impact point, matching user's claim of stone hit causing spreading crack. img_2 shows undamaged windshield, likely different angle or before damage.",img_1,true,high
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,true,REQ_CAR_GLASS_LIGHT_MIRROR met: side mirror is clearly visible and damage (cracked glass) can be inspected.,none,glass_shatter,side_mirror,supported,"img_1 clearly shows the side mirror with shattered/cracked glass, consistent with the user's claim that the mirror was damaged and not sitting properly after being clipped.",img_1,true,medium
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,true,"REQ_CAR_BODY_PANEL met: rear bumper visible in img_2, surface condition assessable. Minor scratching visible, not severe damage.",claim_mismatch;user_history_risk;manual_review_required,scratch,rear_bumper,contradicted,User claims bumper 'looks pretty bad' but img_2 shows only minor surface scratching with no significant deformation. Claim severity contradicted by visible evidence. User history shows pattern of exaggerated claims.,img_2,true,low
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,false,"REQ_CAR_GLASS_LIGHT_MIRROR not met: headlight not visible in submitted image, cannot inspect for cracks or damage.",wrong_angle;damage_not_visible,unknown,headlight,not_enough_information,"img_1 shows the car's side profile with mirror and door visible, but does not show the headlight area at all. Cannot verify claimed headlight crack without visibility of that component.",none,true,unknown
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,true,REQ_CAR_BODY_PANEL met: img_2 clearly shows door panel from angle where surface deformation can be assessed.,blurry_image,dent,door,supported,img_2 clearly shows a dent on the door panel matching the user's claim. img_1 is too blurry to assess but img_2 provides clear evidence of the claimed damage.,img_2,true,medium
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,true,"REQ_CAR_BODY_PANEL met: hood is visible and surface condition can be assessed, though damage is far more severe than claimed.",claim_mismatch;wrong_object_part;user_history_risk;manual_review_required,dent,hood,contradicted,"img_1 shows catastrophic collision damage with crushed hood, not a minor scratch from service. The severity mismatch (claimed scratch vs visible total front-end destruction) contradicts the claim narrative.",img_1,true,high
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,true,REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD met: laptop screen is clearly visible and damage can be inspected.,none,glass_shatter,screen,supported,"img_1 clearly shows extensive glass shattering on the laptop screen with a central impact point and radiating cracks throughout the display, matching the user's claim of screen damage from a fall.",img_1,true,high
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,true,REQ_LAPTOP_BODY_HINGE_PORT met: img_1 clearly shows hinge area with visible structural separation.,none,broken_part,hinge,supported,"img_1 clearly shows hinge area separation between screen and base, matching the claimed broken hinge. img_2 shows laptop from front but hinge not visible in that angle.",img_1,true,medium
